major_options,count
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'Multi Zone Climate Control', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Comfort Package']",32055
"['Alloy Wheels', 'Bluetooth', 'Backup Camera']",13420
['Steel Wheels'],6425
['Alloy Wheels'],6391
"['Steel Wheels', 'Bluetooth', 'Backup Camera']",6039
"['Bluetooth', 'Backup Camera']",5863
['Backup Camera'],3990
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",3959
"['Alloy Wheels', 'Bluetooth']",3570
"['Alloy Wheels', 'Backup Camera']",3361
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",3089
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",2747
['Bluetooth'],2746
"['Adaptive Cruise Control', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",2530
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",2188
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",2117
"['Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",2061
"['Steel Wheels', 'Bluetooth']",2033
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1851
['Sunroof/Moonroof'],1777
"['Sunroof/Moonroof', 'Alloy Wheels']",1540
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1492
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1478
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",1417
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1399
"['Backup Camera', 'Android Auto', 'CarPlay']",1294
"['Steel Wheels', 'Backup Camera']",1293
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",1206
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",1154
"['Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",1106
"['Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera']",1097
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1086
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1063
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1028
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",1012
"['Navigation System', 'Alloy Wheels', 'Bluetooth']",1002
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera']",960
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",946
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",909
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",909
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",903
"['Sunroof/Moonroof', 'Navigation System']",894
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",881
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",873
"['Bluetooth', 'Backup Camera', 'Remote Start']",872
['Quick Order Package'],863
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",846
